pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
1,225,13,0,0,0,0,0,0,0,0,0,0,TI,Analyzing the determinants of the voting behavior usinga genetic algorithm,e11
1,215,13,0,0,0,0,0,0,0,0,0,0,TI,A new method for determining the acid number of biodieselbased on coulometric titration,e13
1,209,16,0,0,0,0,0,0,0,0,0,0,TI,A New Similarity Measure Based on Mean Measure of Divergencefor Collaborative Filtering in Sparse Environment,e14
1,216,13,0,0,0,0,0,0,0,0,0,0,TI,Anion separations for liquid chromatography using propylpyridinium silica asthe stationary phase,e15
1,225,13,0,0,0,0,0,0,0,0,0,0,TI,Antecedentes del compromiso afectivo de los empleados de pymesintensivas en conocimiento,e16
1,210,15,0,0,0,0,0,0,0,0,0,0,TI,Applicable properties of the bio-fertilizer spentmushroom substrate in organic systems as abyproduct from the cultivation of,e17
1,210,15,0,0,0,0,0,0,0,0,0,0,TI,Pleurotus,e17
1,210,15,0,0,0,0,0,0,0,0,0,0,TI,spp,e17
1,215,13,0,0,0,0,0,0,0,0,0,0,TI,"Application of the extraction induced by emulsion breaking for thedetermination of Cu, Fe and Mn in used lubricating oils by",e18
1,215,13,0,0,0,0,0,0,0,0,0,0,TI,ﬂ,e18
1,215,13,0,0,0,0,0,0,0,0,0,0,TI,ameatomic absorption spectrometry,e18
1,230,16,0,0,0,0,0,0,0,0,0,0,TI,A Realistic Decision Making for Task Allocation in HeterogeneousMulti-agent Systems,e19
1,221,16,0,0,0,0,0,0,0,0,0,0,TI,ARTAR-Artistic Augmented Reality,e20
1,222,15,0,0,0,0,0,0,0,0,0,1,TI,Audit Committee and Financial Distress in the Middle East Context:Evidence of the Lebanese Financial Institutions,e22
1,225,13,0,0,0,0,0,0,0,0,0,0,TI,Beyond retrospective assessment. Sport event economic impactstudies as a management tool for informing event organization,e23
1,211,16,0,0,0,0,0,0,0,0,0,0,TI,Big data in building energy efficiency:understanding of big data and main challenges,e24
1,196,13,0,0,0,0,0,0,0,0,0,0,TI,Biore,e25
1,196,13,0,0,0,0,0,0,0,0,0,0,TI,ﬁ,e25
1,196,13,0,0,0,0,0,0,0,0,0,0,TI,nery production of poly-3-hydroxybutyrate using waste o,e25
1,196,13,0,0,0,0,0,0,0,0,0,0,TI,ﬃ,e25
