pageno,top,fonts_size,hasAck,hasAt,Allcap,hasTable,hasFigure,hasRef,hasR,hasAbstract,italic,Bold,LABEL,Text,filename
6,4419,9,0,0,0,0,0,0,0,0,0,1,RE,end ifif,i12
6,4419,9,0,0,0,0,0,0,0,0,0,1,RE,then,i12
8,6259,7,0,0,0,0,0,0,0,0,0,1,RE,Cycle/temperature,i12
8,6257,7,0,0,0,0,0,0,0,0,0,1,RE,1,i12
8,6257,7,0,0,0,0,0,0,0,0,0,1,RE,10,i12
8,6257,7,0,0,0,0,0,0,0,0,0,1,RE,2,i12
8,6257,7,0,0,0,0,0,0,0,0,0,1,RE,10,i12
8,6257,7,0,0,0,0,0,0,0,0,0,1,RE,3,i12
8,6257,7,0,0,0,0,0,0,0,0,0,1,RE,10,i12
8,6276,7,0,0,0,0,0,0,0,0,0,1,RE,1,i12
8,6276,7,0,0,0,0,0,0,0,0,0,1,RE,/,i12
8,6276,7,0,0,0,0,0,0,0,0,0,1,RE,35,i12
8,6276,7,0,0,0,0,0,0,0,0,0,1,RE,°,i12
8,6276,7,0,0,0,0,0,0,0,0,0,1,RE,C,i12
8,6276,7,0,0,0,0,0,0,0,0,0,1,RE,2,i12
8,6276,7,0,0,0,0,0,0,0,0,0,1,RE,/,i12
8,6276,7,0,0,0,0,0,0,0,0,0,1,RE,35,i12
8,6276,7,0,0,0,0,0,0,0,0,0,1,RE,°,i12
8,6276,7,0,0,0,0,0,0,0,0,0,1,RE,C,i12
8,6276,7,0,0,0,0,0,0,0,0,0,1,RE,3,i12
8,6276,7,0,0,0,0,0,0,0,0,0,1,RE,/,i12
8,6276,7,0,0,0,0,0,0,0,0,0,1,RE,35,i12
8,6276,7,0,0,0,0,0,0,0,0,0,1,RE,°,i12
8,6276,7,0,0,0,0,0,0,0,0,0,1,RE,C,i12
9,7031,7,0,0,0,0,0,0,0,0,0,0,RE,[16] V. Ramadesigan,i12
9,7031,7,0,0,0,0,0,0,0,0,0,0,RE,", “Parameter estimation and capacity fade analysisof lithium-ion batteries using ﬁrst-principles-based efﬁcient reformulatedmodels,”",i12
9,7031,7,0,0,0,0,0,0,0,0,0,0,RE,", vol. 19, no. 16, pp. 11–19, 2009.",i12
13,10317,7,0,0,0,0,0,0,0,0,0,0,RE,",",i17
13,10317,7,0,0,0,0,0,0,0,0,0,0,RE,",",i17
13,10317,7,0,0,0,0,0,0,0,0,0,0,RE,",",i17
13,10317,7,0,0,0,0,0,0,0,0,0,0,RE,",",i17
13,10317,7,0,0,0,0,0,0,0,0,0,0,RE,",",i17
13,10317,7,0,0,0,0,0,0,0,0,0,0,RE,",",i17
8,6286,11,0,0,0,0,0,0,0,0,0,1,RE,4. Case Studies,i18
15,12171,8,0,0,0,0,0,0,0,0,0,1,RE,V. CONCLUSIONS,i19
15,12111,8,0,0,0,0,0,0,0,0,0,1,RE,REFERENCES,i20
15,12189,8,0,0,0,0,0,0,0,0,0,1,RE,REFERENCES,i21
13,10321,7,0,0,0,0,0,0,0,0,0,0,RE,EFERENCES,i23
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,"First, we consider the case that",i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,(,i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,",",i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,),i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,=,i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,0,i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,",",i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,"i.e., there isno switching signal on the interval [",i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,",",i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,),i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,.,i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,One may analyzethe problem from two cases:,i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,σ,i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,(,i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,),i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,∈,i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,P,i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,or,i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,σ,i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,(,i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,),i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,∈,i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,P,i24
9,7027,9,0,0,0,0,0,0,0,0,0,0,RE,.,i24
9,7031,9,0,0,0,0,0,0,0,0,0,0,RE,,i24
9,7031,9,0,0,0,0,0,0,0,0,0,0,RE,σ,i24
9,7031,9,0,0,0,0,0,0,0,0,0,0,RE,(,i24
9,7031,9,0,0,0,0,0,0,0,0,0,0,RE,),i24
9,7031,9,0,0,0,0,0,0,0,0,0,0,RE,∈,i24
9,7031,9,0,0,0,0,0,0,0,0,0,0,RE,P,i24
9,7031,9,0,0,0,0,0,0,0,0,0,0,RE,⇒,i24
9,7031,9,0,0,0,0,0,0,0,0,0,0,RE,U,i24
9,7031,9,0,0,0,0,0,0,0,0,0,0,RE,(,i24
9,7031,9,0,0,0,0,0,0,0,0,0,0,RE,),i24
9,7031,9,0,0,0,0,0,0,0,0,0,0,RE,≤,i24
9,7031,7,0,0,0,0,0,0,0,0,0,0,RE,2,i24
9,7031,9,0,0,0,0,0,0,0,0,0,0,RE,(,i24
9,7031,9,0,0,0,0,0,0,0,0,0,0,RE,δ,i24
9,7031,7,0,0,0,0,0,0,0,0,0,0,RE,0,i24
9,7031,9,0,0,0,0,0,0,0,0,0,0,RE,),i24
9,7031,9,0,0,0,0,0,0,0,0,0,0,RE,",",i24
9,7029,7,0,0,0,0,0,0,0,0,0,0,RE,+,i24
9,7029,7,0,0,0,0,0,0,0,0,0,0,RE,1,i24
9,7029,9,0,0,0,0,0,0,0,0,0,0,RE,),i24
9,7029,9,0,0,0,0,0,0,0,0,0,0,RE,≤,i24
9,7029,7,0,0,0,0,0,0,0,0,0,0,RE,2,i24
9,7029,9,0,0,0,0,0,0,0,0,0,0,RE,(,i24
9,7029,9,0,0,0,0,0,0,0,0,0,0,RE,δ,i24
9,7029,7,0,0,0,0,0,0,0,0,0,0,RE,0,i24
9,7029,9,0,0,0,0,0,0,0,0,0,0,RE,),i24
9,7029,9,0,0,0,0,0,0,0,0,0,0,RE,",",i24
9,7029,9,0,0,0,0,0,0,0,0,0,0,RE,0,i24
9,7029,9,0,0,0,0,0,0,0,0,0,0,RE,≤,i24
9,7029,9,0,0,0,0,0,0,0,0,0,0,RE,<,i24
9,7029,9,0,0,0,0,0,0,0,0,0,0,RE,.,i24
9,7031,7,0,0,0,0,0,0,0,0,0,0,RE,"[23] V. Youseﬁpoor, M. H. Ameri, J. Mohajeri, and T. Eghlidos, ‘‘A secureattribute based keyword search scheme against keyword guessing attack,’’in",i25
9,7031,7,0,0,0,0,0,0,0,0,0,0,RE,", Tehran, Iran, Sep. 2016,pp. 124–128.",i25
8,6435,8,0,0,0,0,0,0,0,0,1,1,RE,ers  (Pts)  are  supplied  to  provide  sec-,i26
8,6530,10,0,0,0,0,0,0,0,0,0,1,RE,Figure 13.,i26
9,7354,10,0,0,0,0,0,0,0,0,0,1,RE,Figure 15.,i26
9,7385,9,0,0,0,0,0,0,0,0,0,1,RE,65,i26
6,4378,10,0,0,0,0,0,0,0,0,1,1,RE,Optimization Algorithm,i28
6,4378,9,0,0,0,0,0,0,0,0,1,1,RE,"In  this  section,  the  matrix",i28
6,4378,9,0,0,0,0,0,0,0,0,1,1,RE,K,i28
